Week,Nodes,MIS_Pool_Size,Layers,MISM_DyCLA,MIS_static,DyCLA_pure,Random,Week_Time_s
0,316,158,4,44.3,29.8,17.0,16.0,61.9
1,316,158,5,44.2,27.0,18.8,17.5,69.6
2,316,158,4,38.8,27.0,18.0,20.0,53.1
3,316,158,4,33.0,20.0,16.0,18.0,42.9
4,316,158,4,45.0,29.0,20.5,17.0,59.2
5,316,158,3,28.0,19.0,16.0,17.0,38.8
6,316,158,4,50.6,36.7,20.7,31.2,73.8
7,316,158,4,44.4,25.0,16.2,16.0,59.4
8,316,158,5,63.5,48.0,23.0,17.5,94.5
9,316,158,4,42.5,31.8,17.0,19.7,57.0
10,316,158,3,20.0,15.0,17.0,15.0,32.8
11,316,158,4,36.3,21.0,16.0,15.0,48.7
12,316,158,4,48.0,35.0,19.0,20.0,65.4
13,316,158,4,42.2,25.0,20.5,19.5,57.8
14,316,158,4,37.1,24.0,17.5,16.2,46.5
15,316,158,5,47.1,33.5,25.3,19.7,72.7
16,316,158,4,40.0,25.0,18.0,24.0,54.0
17,316,158,4,35.5,25.0,16.0,16.0,48.7
18,316,158,4,45.0,34.0,19.0,16.0,58.3
19,316,158,4,46.4,30.5,20.7,16.5,67.4
20,316,158,4,40.5,26.0,18.0,18.0,51.4
21,316,158,4,37.6,24.0,22.3,22.3,49.5
22,316,158,4,43.5,29.5,19.0,21.7,57.4
23,316,158,4,68.0,39.0,21.7,21.0,90.2
24,316,158,4,41.5,30.0,23.0,21.5,52.6
25,316,158,4,35.2,20.0,17.3,17.0,46.6
26,316,158,5,38.8,23.7,15.5,15.5,52.8
27,316,158,4,25.5,16.0,16.0,16.0,41.7
28,316,158,3,52.6,38.5,17.7,18.2,73.2
29,316,158,4,46.2,23.0,29.5,21.7,63.3
30,316,158,4,37.0,23.0,16.0,16.0,48.0
31,316,158,5,51.9,35.0,17.0,18.7,76.7
32,316,158,4,64.9,53.9,23.8,18.0,96.9
33,316,158,4,58.5,43.3,25.2,18.7,86.2
34,316,158,5,59.3,44.5,19.0,19.5,92.9
35,316,158,4,48.2,34.5,16.5,30.8,71.5
36,316,158,5,45.5,24.5,22.5,19.0,62.2
37,316,158,4,54.3,36.2,15.5,17.5,75.0
38,316,158,5,33.0,21.0,17.0,18.0,48.6
39,316,158,4,35.5,21.5,18.0,21.5,48.2
40,316,158,4,58.3,45.0,17.0,23.3,84.7
41,316,158,4,35.0,21.0,16.0,17.0,47.0
42,316,158,4,37.8,23.5,17.5,22.3,46.6
43,316,158,5,41.0,23.0,21.5,16.0,62.0
44,316,158,4,57.0,38.8,24.5,22.8,76.2
45,316,158,4,49.6,33.5,20.5,19.0,65.2
46,316,158,5,52.7,39.5,17.3,21.3,80.4
47,316,158,4,76.8,61.3,18.0,32.8,115.3
48,316,158,4,37.7,29.0,19.5,17.8,48.2
49,316,158,4,36.6,23.5,18.8,23.0,49.4
50,316,158,5,64.2,49.5,15.5,22.3,103.7
51,316,158,5,51.5,37.5,17.0,21.2,72.5
52,316,158,4,56.3,33.6,32.9,25.2,80.9
53,316,158,4,66.2,54.2,23.1,27.6,94.8
54,316,158,4,61.3,45.0,19.1,23.2,84.6
55,316,158,5,68.4,53.5,18.3,23.6,99.6
56,316,158,4,46.3,34.0,18.5,24.5,63.1
57,316,158,3,41.4,28.0,16.5,20.8,55.1
58,316,158,4,25.0,18.0,17.0,18.0,41.5
59,316,158,4,36.0,23.0,18.0,18.0,47.6
60,316,158,4,60.5,51.2,18.4,21.2,77.0
61,316,158,5,104.1,93.2,28.4,32.7,161.4
62,316,158,4,34.7,22.0,16.3,16.0,52.2
63,316,158,4,71.6,52.1,22.4,23.5,95.0
64,316,158,5,126.4,112.0,44.3,62.9,206.3
65,316,158,4,75.6,56.0,27.3,38.2,119.7
66,316,158,4,66.0,48.1,18.7,27.4,87.6
67,316,158,5,90.2,67.6,16.0,29.8,179.0
68,316,158,4,83.2,69.1,28.4,38.2,125.4
69,316,158,4,98.9,78.8,33.8,39.6,184.7
70,316,158,5,109.3,93.4,45.8,41.7,209.5
71,316,158,4,107.8,81.7,30.5,25.6,172.4
72,316,158,5,113.6,91.7,26.1,48.5,225.7
73,316,158,4,99.3,83.9,40.7,44.3,239.6
74,316,158,5,131.5,121.0,43.3,84.1,477.1
75,316,158,3,36.2,21.0,18.1,18.1,58.1
113,316,158,1,15.0,15.0,15.0,15.0,13.4
114,316,158,4,39.0,26.0,18.0,19.0,52.9
