Month,Month_Index,Nodes,Edges,MIS_Pool_Size,Layers,MISM_DyCLA,MIS_static,DyCLA_pure,Random
483,0,24818,44,250,2,15.5,15.4,15.0,15.0
484,1,24818,3379,250,3,41.2,41.4,16.2,26.5
485,2,24818,4479,250,3,45.0,47.1,15.5,26.6
486,3,24818,3885,250,3,42.6,43.6,15.0,21.4
487,4,24818,4503,250,3,51.3,51.3,15.1,27.8
488,5,24818,4934,250,3,49.7,49.0,15.0,24.4
489,6,24818,5387,250,3,47.3,49.4,15.0,22.9
490,7,24818,5274,250,3,43.1,44.2,16.3,20.2
491,8,24818,5480,250,3,45.6,42.1,15.0,19.5
492,9,24818,5985,250,3,52.4,52.9,15.0,25.9
493,10,24818,6478,250,3,54.0,53.6,15.1,26.5
494,11,24818,5471,250,3,45.1,45.7,15.0,22.4
495,12,24818,5388,250,3,40.8,39.2,15.0,20.9
496,13,24818,6107,250,3,44.9,41.0,15.0,20.6
497,14,24818,6138,250,3,43.1,42.8,15.0,21.9
498,15,24818,5222,250,3,37.3,35.0,15.0,21.8
499,16,24818,4823,250,3,37.5,35.8,15.0,19.9
500,17,24818,5832,250,3,41.4,40.3,15.0,22.4
501,18,24818,5153,250,3,34.5,35.5,15.1,20.6
502,19,24818,5322,250,3,35.3,35.1,15.1,19.5
503,20,24818,5316,250,3,35.7,34.4,15.0,20.8
504,21,24818,4580,250,3,33.2,32.6,15.0,19.1
505,22,24818,3879,250,3,31.2,31.5,15.1,17.1
506,23,24818,3997,250,3,31.2,32.2,15.1,17.6
507,24,24818,4362,250,3,32.8,31.8,15.1,19.9
508,25,24818,4284,250,3,33.0,31.8,15.1,20.4
509,26,24818,4459,250,3,31.8,32.9,15.0,19.6
510,27,24818,4135,250,3,31.8,31.5,15.4,19.5
511,28,24818,3353,250,3,28.6,30.1,15.1,19.8
512,29,24818,4095,250,3,30.0,30.4,15.0,21.5
513,30,24818,4382,250,3,30.6,31.7,15.1,18.2
514,31,24818,4224,250,3,31.5,30.7,15.2,18.2
515,32,24818,4232,250,3,33.0,33.2,15.2,19.5
516,33,24818,4029,250,3,32.5,32.3,15.2,18.9
517,34,24818,3983,250,3,29.3,29.3,15.1,19.2
518,35,24818,3816,250,3,32.6,32.0,15.0,18.8
519,36,24818,3949,250,3,34.0,33.8,15.0,17.0
520,37,24818,3904,250,3,29.4,28.7,15.0,18.6
521,38,24818,3995,250,3,31.7,32.5,15.3,17.8
522,39,24818,4459,250,3,33.4,33.3,15.0,18.7
523,40,24818,3903,250,3,30.6,28.9,15.0,22.9
524,41,24818,4447,250,3,30.2,29.4,15.0,20.6
525,42,24818,4534,250,3,32.2,32.5,15.0,22.8
526,43,24818,4225,250,3,29.0,29.2,15.0,17.6
527,44,24818,4464,250,3,30.8,29.8,15.5,19.3
528,45,24818,4532,250,3,32.0,32.0,15.0,19.8
529,46,24818,4030,250,3,30.1,29.8,15.0,20.4
530,47,24818,3564,250,3,28.2,30.0,15.0,19.6
531,48,24818,3488,250,3,27.8,27.6,15.2,17.4
532,49,24818,3409,250,3,27.2,26.5,15.1,18.2
533,50,24818,3794,250,3,28.6,29.9,15.0,19.1
534,51,24818,3701,250,3,28.3,28.3,15.1,17.4
535,52,24818,3510,250,3,25.7,24.8,15.0,18.9
536,53,24818,3807,250,3,27.1,26.9,15.0,18.9
537,54,24818,3708,250,3,27.8,28.0,15.0,17.9
538,55,24818,3638,250,3,26.6,27.3,15.1,17.7
539,56,24818,3630,250,3,25.6,26.1,15.0,17.6
540,57,24818,3644,250,3,26.8,27.0,15.0,19.1
541,58,24818,3126,250,3,27.7,26.6,15.0,19.4
542,59,24818,3428,250,3,28.7,27.8,15.0,18.0
543,60,24818,3105,250,3,26.9,27.0,15.2,18.7
544,61,24818,3455,250,3,28.6,27.3,15.0,18.3
545,62,24818,3530,250,3,27.0,26.6,15.0,18.6
546,63,24818,3546,250,3,26.6,25.9,15.0,18.8
547,64,24818,2927,250,3,25.1,25.4,15.0,17.1
548,65,24818,3353,250,3,27.1,27.2,15.0,17.5
549,66,24818,3288,250,3,26.3,24.9,15.0,17.1
550,67,24818,3786,250,3,28.0,27.7,15.0,19.9
551,68,24818,3525,250,3,29.6,29.7,15.0,18.3
552,69,24818,3468,250,3,27.3,27.3,15.0,17.4
553,70,24818,3066,250,3,25.6,26.1,15.0,16.9
554,71,24818,2842,250,3,25.2,24.9,15.0,17.4
555,72,24818,3184,250,3,25.8,25.9,15.0,20.1
556,73,24818,3704,250,3,29.9,28.7,15.0,18.4
557,74,24818,3800,250,3,27.9,28.3,15.0,18.5
558,75,24818,3490,250,3,27.9,28.0,15.0,17.8
559,76,24818,3260,250,3,29.0,28.2,15.0,16.6
560,77,24818,3124,250,3,27.6,28.4,15.0,17.3
561,78,24818,3653,250,3,29.4,29.0,15.0,19.0
562,79,24818,938,250,3,18.8,18.6,15.0,15.9
